epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.51,1.21489,2.07201,1.65735,0.50288,0.72919,0.59995,0.30875,1.46977,2.43577,2.41378,0.000550615,0.000550615,0.000550615
2,289.956,1.2297,1.55133,1.61512,0.40795,0.83988,0.53167,0.28615,1.53726,1.76826,2.52558,0.00109533,0.00109533,0.00109533
3,444.357,1.24451,1.37166,1.61918,0.47007,0.81946,0.60913,0.32667,1.49578,1.35926,2.50825,0.00162904,0.00162904,0.00162904
4,588.562,1.23817,1.24534,1.60173,0.55623,0.67624,0.59222,0.26554,1.82496,1.52336,2.51698,0.00161749,0.00161749,0.00161749
5,733.68,1.21514,1.21426,1.58846,0.51702,0.93449,0.66514,0.35959,1.56803,1.16306,2.41685,0.00160099,0.00160099,0.00160099
6,877.364,1.20261,1.14797,1.56943,0.56718,0.85965,0.72881,0.41811,1.30111,1.35377,2.11724,0.00158448,0.00158448,0.00158448
7,1021.89,1.16662,1.08505,1.54695,0.64856,0.76966,0.71947,0.4035,1.35679,1.01352,2.13379,0.00156798,0.00156798,0.00156798
8,1165.08,1.15757,1.06126,1.54178,0.5542,0.93219,0.68564,0.40335,1.40321,1.14338,2.16783,0.00155148,0.00155148,0.00155148
9,1308.2,1.14868,1.03902,1.52486,0.63213,0.78278,0.71917,0.441,1.28178,0.92025,2.08998,0.00153497,0.00153497,0.00153497
10,1456.47,1.13785,1.02206,1.52536,0.54452,0.96578,0.73858,0.44921,1.25056,1.04206,1.99705,0.00151847,0.00151847,0.00151847
11,1607.7,1.13541,1.0224,1.50988,0.49039,0.93813,0.65428,0.40332,1.26881,0.93687,2.08322,0.00150197,0.00150197,0.00150197
12,1779.13,1.13244,0.98992,1.51025,0.7609,0.80339,0.7969,0.47826,1.24959,0.87976,2.03511,0.00148546,0.00148546,0.00148546
13,1971.52,1.11019,0.98125,1.50529,0.62239,0.84329,0.755,0.45386,1.24206,0.84589,2.03015,0.00146896,0.00146896,0.00146896
14,2160.4,1.08612,0.9593,1.48174,0.72008,0.79556,0.79589,0.47596,1.26513,0.82013,2.11619,0.00145246,0.00145246,0.00145246
15,2358.38,1.09493,0.95871,1.48987,0.65874,0.80095,0.77755,0.459,1.33459,0.86674,2.17012,0.00143595,0.00143595,0.00143595
16,2560.16,1.07924,0.94096,1.47729,0.62306,0.85102,0.78054,0.48713,1.28313,0.8723,2.05602,0.00141945,0.00141945,0.00141945
17,2793.61,1.06341,0.91097,1.47282,0.67678,0.81187,0.78011,0.4736,1.26366,0.82229,1.99236,0.00140295,0.00140295,0.00140295
18,2983.53,1.06848,0.90026,1.46705,0.59175,0.84641,0.74135,0.46854,1.26106,0.85622,2.02173,0.00138644,0.00138644,0.00138644
19,3221.05,1.05789,0.91339,1.4595,0.67722,0.86678,0.79717,0.49958,1.2545,1.05039,2.04288,0.00136994,0.00136994,0.00136994
20,3469.08,1.05303,0.88871,1.45266,0.70013,0.82073,0.78555,0.48461,1.27333,0.8513,2.01396,0.00135344,0.00135344,0.00135344
21,3719.37,1.06374,0.87591,1.44217,0.62665,0.79474,0.74467,0.46586,1.24451,0.89952,2.05923,0.00133693,0.00133693,0.00133693
22,3981.81,1.0316,0.8682,1.43863,0.67021,0.80255,0.77296,0.47934,1.27027,0.7984,2.03973,0.00132043,0.00132043,0.00132043
